Size,Type,StandardMerge,StandardQuick,CustomMerge,CustomQuick,Radix,RadixQuick
100,Random,551,657,529,617,340,252
100,Reverse,316,4950,283,633,354,259
100,NearlySorted,434,2230,350,617,350,259
100,Prefix,538,645,1294,1389,2152,1219
200,Random,1274,1858,1165,1460,788,592
200,Reverse,732,19900,562,1549,774,597
200,NearlySorted,1145,4001,766,1510,790,597
200,Prefix,1294,1816,2900,3087,4476,2845
300,Random,2110,2725,1923,2425,1234,1009
300,Reverse,1180,44850,848,2453,1212,1049
300,NearlySorted,1851,10578,1150,2232,1216,1037
300,Prefix,2081,2532,4606,5201,6976,4585
400,Random,2969,3545,2718,3125,1662,1504
400,Reverse,1664,79800,1160,3229,1666,1484
400,NearlySorted,2399,17762,1533,3331,1640,1494
400,Prefix,2966,3564,6292,6667,9192,6285
500,Random,3860,5037,3494,4352,2102,2002
500,Reverse,2216,124750,1519,4429,2096,2005
500,NearlySorted,3267,19029,1901,4518,2106,1977
500,Prefix,3870,4259,8096,8763,11838,8051
600,Random,4789,5822,4370,4906,2614,2560
600,Reverse,2660,179700,1801,5514,2532,2555
600,NearlySorted,4373,17697,2467,5181,2570,2533
600,Prefix,4809,5863,10109,10866,14582,10091
700,Random,5776,7690,5268,6449,2946,3142
700,Reverse,3172,244650,2131,6399,2966,3091
700,NearlySorted,5223,17526,2897,6592,2982,3119
700,Prefix,5738,7700,12119,13122,17706,12163
800,Random,6706,8211,6095,7756,3450,3686
800,Reverse,3728,319600,2480,7759,3398,3701
800,NearlySorted,5646,53470,3411,7003,3420,3675
800,Prefix,6723,8720,13663,14998,19680,18956
900,Random,7723,9891,6954,8030,3856,4277
900,Reverse,4304,404550,2873,7998,3896,4318
900,NearlySorted,6869,35885,3883,8081,3858,4300
900,Prefix,7715,8759,13958,15338,18922,18126
1000,Random,8712,10830,7922,9828,4308,4949
1000,Reverse,4932,499500,3316,9333,4374,4943
1000,NearlySorted,7761,46978,4360,9572,4356,4952
1000,Prefix,8661,9897,17655,19502,25356,24396
1500,Random,13966,17540,12665,15923,6798,8410
1500,Reverse,7664,1124250,5082,14894,6720,8328
1500,NearlySorted,12731,57637,7268,16260,6684,8389
1500,Prefix,13989,16370,24348,26963,32342,30961
2000,Random,19404,26815,17494,21227,9326,12014
2000,Reverse,10864,1999000,7326,21500,9228,12061
2000,NearlySorted,17222,124851,10032,21617,9252,11942
2000,Prefix,19430,24234,30211,33914,38282,36519
2500,Random,25124,33332,22762,26781,11804,15840
2500,Reverse,13652,3123750,8984,27663,11990,15816
2500,NearlySorted,22662,132932,13167,28677,11828,16040
2500,Prefix,25205,31958,43194,48295,57040,55089
3000,Random,30895,37545,27938,35612,14690,20158
3000,Reverse,16828,4498500,11078,34343,14622,19949
3000,NearlySorted,28057,176082,16254,33669,14578,20173
3000,Prefix,30947,36558,50659,56858,64420,62450
