Size,Type,StandardMerge,StandardQuick,CustomMerge,CustomQuick,Radix,RadixQuick
100,Random,369,127,439,770,387,350
100,Reverse,278,634,315,617,344,316
100,NearlySorted,237,265,262,497,257,247
100,Prefix,240,73,298,878,875,810
200,Random,415,155,455,760,409,471
200,Reverse,327,1310,363,667,345,417
200,NearlySorted,327,258,340,645,344,412
200,Prefix,340,126,407,869,798,850
300,Random,483,174,532,831,406,592
300,Reverse,412,2350,458,820,393,598
300,NearlySorted,434,609,448,793,371,600
300,Prefix,483,164,573,1099,970,1103
400,Random,656,239,714,1072,464,856
400,Reverse,562,4099,618,1075,470,836
400,NearlySorted,588,1004,611,1067,432,816
400,Prefix,661,232,810,1394,1194,1369
500,Random,841,310,908,1330,543,1074
500,Reverse,719,6374,786,1312,532,1066
500,NearlySorted,777,1056,781,1342,529,1065
500,Prefix,839,281,1022,1716,1527,1701
600,Random,1034,371,1102,1587,702,1330
600,Reverse,879,9133,939,1566,596,1315
600,NearlySorted,962,987,968,1559,617,1313
600,Prefix,1037,372,1243,2012,1800,2020
700,Random,1233,490,1307,1827,643,1558
700,Reverse,1032,12332,1107,1796,667,1536
700,NearlySorted,1172,986,1130,1821,654,1597
700,Prefix,1259,491,1497,2424,2153,2365
800,Random,1409,530,1504,2117,778,1853
800,Reverse,1205,16122,1282,2059,713,1783
800,NearlySorted,1337,2980,1333,2076,768,1868
800,Prefix,1453,556,1688,2694,2394,2275
900,Random,1637,619,1726,2297,807,2034
900,Reverse,1356,20319,1501,2295,842,2058
900,NearlySorted,1500,1980,1499,2285,785,2002
900,Prefix,1608,563,1882,2878,2396,2348
1000,Random,1802,673,1928,2578,886,2259
1000,Reverse,1536,25097,1679,2548,947,2312
1000,NearlySorted,1663,2460,1661,2565,906,2297
1000,Prefix,1812,633,2162,3349,3045,2961
1500,Random,2830,1101,2989,3969,1503,3610
1500,Reverse,2360,56730,2546,3871,1406,3566
1500,NearlySorted,2607,3121,2584,3941,1343,3564
1500,Prefix,2807,1053,3250,4722,3918,4167
2000,Random,3866,1634,4070,5328,2126,4979
2000,Reverse,3239,100971,3491,5269,2029,4891
2000,NearlySorted,3534,6677,3574,5311,2021,4924
2000,Prefix,3836,1498,4337,6240,4768,5488
2500,Random,5063,2084,5182,6669,2717,6306
2500,Reverse,4157,157679,4382,6743,2905,6377
2500,NearlySorted,4605,7196,4565,6688,2692,6259
2500,Prefix,5038,1973,5726,7862,6263,7615
3000,Random,6044,2348,6349,8274,3653,7765
3000,Reverse,5114,226871,5447,8075,3552,7711
3000,NearlySorted,5553,9664,5618,8097,3472,7634
3000,Prefix,6015,2340,6882,9217,6948,8966
